"EFF_DATE","STAR_COMPUTER_CODE","ARTCC","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",40,"CHOTO","K3","WP   ","JAAKK","STL/11, STL/12L, STL/12R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",50,"JAAKK","K5","WP   ","KRIYA","STL/11, STL/12L, STL/12R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",60,"KRIYA","K5","WP   ","PETTI","STL/11, STL/12L, STL/12R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",70,"PETTI","K5","WP   ","AARCH","STL/11, STL/12L, STL/12R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-BUELL",1,"",80,"AARCH","K5","WP   ","","STL/11, STL/12L, STL/12R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-FDRKO",1,"",10,"FDRKO","K5","WP   ","OSHIE","STL/29, STL/30L, STL/30R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-FDRKO",1,"",20,"OSHIE","K5","WP   ","EADDS","STL/29, STL/30L, STL/30R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-FDRKO",1,"",30,"EADDS","K5","WP   ","SSKOT","STL/29, STL/30L, STL/30R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-FDRKO",1,"",40,"SSKOT","K5","WP   ","PETTI","STL/29, STL/30L, STL/30R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-FDRKO",1,"",50,"PETTI","K5","WP   ","AARCH","STL/29, STL/30L, STL/30R"
"2026/01/22","AARCH.AARCH2","ZKC","BODY","AARCH-FDRKO",1,"",60,"AARCH","K5","WP   ","","STL/29, STL/30L, STL/30R"
"2026/01/22","AARCH.AARCH2","ZKC","TRANSITION","AKBAR TRANSITION",1,"AKBAR.AARCH2",10,"AARCH","K5","WP   ","UKAAY",""
"2026/01/22","AARCH.AARCH2","ZKC","TRANSITION","AKBAR TRANSITION",1,"AKBAR.AARCH2",20,"UKAAY","K5","WP   ","PRUET",""
"2026/01/22","AARCH.AARCH2","ZKC","TRANSITION","AKBAR TRANSITION",1,"AKBAR.AARCH2",30,"PRUET","K5","WP   ","AKBAR",""
"2026/01/22","AARCH.AARCH2","ZKC","TRANSITION","AKBAR TRANSITION",1,"AKBAR.AARCH2",40,"AKBAR","K5","WP   ","",""
"2026/01/22","AARCH.AARCH2","ZKC","TRANSITION","BRICKYARD TRANSITION",1,"VHP.AARCH2",10,"AARCH","K5","WP   ","UKAAY",""
