"EFF_DATE","FACILITY_ID","FACILITY_TYPE","STATE_CODE","COUNTRY_CODE","RADAR_TYPE","RADAR_NO","RADAR_HRS","REMARK"
"2026/02/19","MFD","AIRPORT","OH","US","ASR",1,"0600-2300",""
"2026/02/19","MFR","AIRPORT","OR","US","ASR",1,"0600-2300",""
"2026/02/19","MGE","AIRPORT","GA","US","ASR",1,"0700-2300.",""
"2026/02/19","MGM","AIRPORT","AL","US","ASR",1,"0600-2300",""
"2026/02/19","MHT","AIRPORT","NH","US","ASR",1,"24",""
"2026/02/19","MIA","AIRPORT","FL","US","ASR",2,"24",""
"2026/02/19","MIB","AIRPORT","ND","US","ASR",2,"OPR 24 HRS FROM MON 1300Z++ THRU SAT 0500Z++ SAT AND SUN 1300-0500Z++.","(RADAR_TYPE) DIGITAL ASR NO-NOTAM MP 0600-1200Z++ MON-FRI (1500/3+1)."
"2026/02/19","MKE","AIRPORT","WI","US","ASR",1,"24",""
"2026/02/19","MKG","AIRPORT","MI","US","ASR",1,"0600-2300",""
"2026/02/19","MLI","AIRPORT","IL","US","ASR",1,"24",""
"2026/02/19","MLU","AIRPORT","LA","US","ASR",1,"0600-2200",""
"2026/02/19","MOB","AIRPORT","AL","US","ASR",1,"0600-2300",""
"2026/02/19","MRB","AIRPORT","WV","US","ASR",1,"24",""
"2026/02/19","MRY","AIRPORT","CA","US","ASR",1,"0600-2100","(RADAR_TYPE) ASR-11 ANTENNA LOCATED MARINA MUNI (OAR), REMOTED TO MONTEREY RGNL (MRY). ASR-11 SERVES MRY AND OAR."
"2026/02/19","MSN","AIRPORT","WI","US","ASR",1,"0600-2300",""
"2026/02/19","MSO","AIRPORT","MT","US","ASR",1,"0600-2320",""
"2026/02/19","MSP","AIRPORT","MN","US","ASR",1,"24",""
"2026/02/19","MSY","AIRPORT","LA","US","ASR",1,"24",""
"2026/02/19","MTC","AIRPORT","MI","US","ASR",2,"0730-2300",""
"2026/02/19","MUO","AIRPORT","ID","US","ASR",1,"24",""
"2026/02/19","MWH","AIRPORT","WA","US","ASR",1,"0600-2200",""
"2026/02/19","MYNN","AIRPORT","","BS","ASR",1,"24",""
"2026/02/19","MYR","AIRPORT","SC","US","ASR",1,"0600-2300.",""
"2026/02/19","N90","TRACON","NY","US","ASR",1,"24",""
"2026/02/19","N90","TRACON","NY","US","ASR",2,"24",""
"2026/02/19","N90","TRACON","NY","US","ASR",3,"24",""
"2026/02/19","N90","TRACON","NY","US","ASR",4,"24",""
"2026/02/19","N90","TRACON","NY","US","ASR",5,"24",""
"2026/02/19","NBC","AIRPORT","SC","US","PAR",2,"0700-2300 LCL",""
"2026/02/19","NBC","AIRPORT","SC","US","ASR",3,"0700-2300 LCL",""
"2026/02/19","NBG","AIRPORT","LA","US","ASR",1,"MON-FRI 0700-2300.  SAT-SUN 0900-1700.",""
"2026/02/19","NBG","AIRPORT","LA","US","PAR",2,"MON-FRI 0700-2300.  SAT-SUN 0900-1700.",""
"2026/02/19","NCA","AIRPORT","NC","US","ASR",3,"24",""
"2026/02/19","NCA","AIRPORT","NC","US","PAR",4,"24",""
"2026/02/19","NCT","TRACON","CA","US","ARSR",1,"24",""
"2026/02/19","NCT","TRACON","CA","US","ARSR",2,"24",""
"2026/02/19","NCT","TRACON","CA","US","ARSR",3,"24",""
"2026/02/19","NCT","TRACON","CA","US","ASR",4,"24",""
"2026/02/19","NDZ","AIRPORT","FL","US","ASR",1,"SAME AS ARPT OPS HRS.",""
"2026/02/19","NDZ","AIRPORT","FL","US","PAR",2,"SAME AS ARPT OPS HRS.",""
"2026/02/19","NFG","AIRPORT","CA","US","ASR",1,"1600-0800Z MON-THU, 1600-0100Z++ FRI; CLSD SAT, SUN AND HOL.","(RADAR_TYPE) ILS/RADAR - RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA."
"2026/02/19","NFG","AIRPORT","CA","US","PAR",2,"1600-2000Z++ AND 0000-0100Z++ MON, 1600-0100Z++  FRI,  1600-0800Z++ TUE-THU; CLSD SAT, SUN AND HOL.",""
"2026/02/19","NFL","AIRPORT","NV","US","ASR",2,"SAME AS ARPT HRS.",""
"2026/02/19","NFL","AIRPORT","NV","US","PAR",3,"SAME AS ARPT HRS.  RADAR - SEE TRML FLIP FOR RADAR MINIMA.",""
"2026/02/19","NFW","AIRPORT","TX","US","ASR",1,"1300-0500Z++ MON-FRI, EXC HOL.",""
"2026/02/19","NFW","AIRPORT","TX","US","PAR",2,"1300-0500Z++ MON-FRI, EXC HOL.",""
"2026/02/19","NGF","AIRPORT","HI","US","ASR",1,"1800-0800Z MON-FRI; CLSD SAT, SUN AND HOL. MP 1630-2300Z WED.",""
"2026/02/19","NGP","AIRPORT","TX","US","PAR",1,"24",""
"2026/02/19","NGU","AIRPORT","VA","US","ASR",1,"RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/02/19","NGU","AIRPORT","VA","US","PAR",2,"RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/02/19","NHK","AIRPORT","MD","US","ASR",1,"1200-0400Z++ MON-FRI, 1300-2300Z++SAT-SUN.","(RADAR_HRS) SEE TERMINAL FLIP FOR RADAR MINIMA. ASR-11, PAR."
"2026/02/19","NHK","AIRPORT","MD","US","PAR",2,"1200-0400Z++ MON-FRI, 1300-2300Z++ SAT-SUN.",""
"2026/02/19","NIP","AIRPORT","FL","US","PAR",2,"NO-NOTAM MAINTENANCE SCHEDULE: PAR 1200-1600Z++ TUES. SEE FLIP AP/1 FOR ADDITIONAL SUPPLEMENTARY ARPT INFO.  SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/02/19","NIP","AIRPORT","FL","US","ASR",3,"24",""
"2026/02/19","NJK","AIRPORT","CA","US","ASR",1,"24 HRS",""
"2026/02/19","NKT","AIRPORT","NC","US","ASR",3,"24",""
"2026/02/19","NKT","AIRPORT","NC","US","PAR",4,"24",""
"2026/02/19","NKX","AIRPORT","CA","US","ASR",1,"24 HRS",""
"2026/02/19","NKX","AIRPORT","CA","US","PAR",2,"1530-0800Z MON-THU; 1630-0200Z++ FRI; CLSD SAT; 2200-0200Z++SUN.  FLD CLSD NATL HOLS.",""
"2026/02/19","NLC","AIRPORT","CA","US","ASR",2,"24",""
"2026/02/19","NLC","AIRPORT","CA","US","PAR",3,"0700-2400 MON-FRI; 0800-2400 SAT-SUN-HOL.",""
"2026/02/19","NMM","AIRPORT","MS","US","PAR",2,"0700-2300",""
"2026/02/19","NMM","AIRPORT","MS","US","ASR",4,"24",""
"2026/02/19","NPA","AIRPORT","FL","US","PAR",2,"HRS SAME AS ATCT.",""
"2026/02/19","NQI","AIRPORT","TX","US","ASR",1,"SEE ATCT HRS.",""
"2026/02/19","NQX","AIRPORT","FL","US","PAR",2,"1200-0300Z++, OT CTC MIA ARTCC.  SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/02/19","NQX","AIRPORT","FL","US","ASR",3,"1200-0300Z++",""
"2026/02/19","NRB","AIRPORT","FL","US","PAR",3,"24",""
"2026/02/19","NRB","AIRPORT","FL","US","ASR",4,"24",""
"2026/02/19","NRS","AIRPORT","CA","US","PAR",1,"1600-0630Z MON-THU (1500-0600Z DT) AND 1600-0200Z++ FRI. CLSD FR 0200Z++ DAY PRIOR TIL 1600Z++ DAY FLW GOVT HOL.  ILS/RADAR - RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/02/19","NSI","AIRPORT","CA","US","ASR",1,"24",""
"2026/02/19","NSI","AIRPORT","CA","US","PAR",2,"24",""
"2026/02/19","NTD","AIRPORT","CA","US","ASR",2,"1500-0700Z++",""
"2026/02/19","NTU","AIRPORT","VA","US","ASR",1,"24",""
"2026/02/19","NTU","AIRPORT","VA","US","PAR",2,"24",""
"2026/02/19","NUC","AIRPORT","CA","US","ASR",1,"0800-1800 MON-FRI","(RADAR_TYPE) ASR NO-NOTAM MP 1800-2200Z++ TUE."
"2026/02/19","NUQ","AIRPORT","CA","US","ASR",1,"24",""
"2026/02/19","NUW","AIRPORT","WA","US","ASR",1,"24",""
"2026/02/19","NUW","AIRPORT","WA","US","PAR",2,"24",""
"2026/02/19","NYG","AIRPORT","VA","US","ASR",1,"1300-0200Z++ MON-THU; 1300-2200Z++ FRI; OPR SAT, SUN,AND HOL BY NOTAM ONLY.",""
"2026/02/19","NYG","AIRPORT","VA","US","PAR",2,"1600-2200Z++ MON; 1300-0200Z++ TUE-THU; 1300-2200Z++ FRI; OPEN SAT, SUN AND HOL BY NOTAM ONLY.",""
"2026/02/19","NYL","AIRPORT","AZ","US","ASR",2,"24",""
"2026/02/19","NYL","AIRPORT","AZ","US","PAR",3,"24",""
"2026/02/19","NZY","AIRPORT","CA","US","PAR",1,"1430Z++ MON- 0600Z++ SAT; 1600Z++ SAT- 0600Z++ SUN; 1600Z++ SUN- 0600Z++ MON. CLSD 0200Z++ DAY PRIOR TO 1430Z++ DAY FOLLOWING ALL FEDERAL HOLIDAYS. SEE FLIP AP/1 SUPPLEMENTARY ARPT INFO.",""
"2026/02/19","NZY","AIRPORT","CA","US","ASR",2,"1430Z++ MON- 0600Z++ SAT; 1600Z++ SAT- 0600Z++ SUN; 1600Z++ SUN- 0600Z++ MON. CLSD 0200Z++ DAY PRIOR TO 1430Z++ DAY FOLLOWING ALL FEDERAL HOLIDAYS. SEE FLIP AP/1 SUPPLEMENTARY ARPT INFO.",""
"2026/02/19","OAK","AIRPORT","CA","US","ASR",1,"24",""
