"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","WIDTH_SEQ_NO","WIDTH_TEXT"
"2026/01/22","IR","049","ZMA",20,"3.5 NM LEFT AND 7 NM RIGHT OF CENTERLINE FROM E TO F."
"2026/01/22","IR","050","ZMA",5,"8 NM LEFT AND 3 NM RIGHT OF CENTERLINE FROM A TO B;"
"2026/01/22","IR","050","ZMA",10,"5 NM EITHER SIDE OF CENTERLINE FROM B TO E;"
"2026/01/22","IR","050","ZMA",15,"3.5 NM LEFT AND 7 NM RIGHT OF CENTERLINE FROM E TO G."
"2026/01/22","IR","051","ZMA",5,"8 NM LEFT AND 3 NM RIGHT OF CENTERLINE FROM A TO B;"
"2026/01/22","IR","051","ZMA",10,"5 NM EITHER SIDE OF CENTERLINE FROM B TO F;"
"2026/01/22","IR","051","ZMA",15,"4 NM EITHER SIDE OF CENTERLINE FROM F TO H;"
"2026/01/22","IR","051","ZMA",20,"3 NM EITHER SIDE OF CENTERLINE FROM H TO L;"
"2026/01/22","IR","051","ZMA",25,"6 NM LEFT AND 4 NM RIGHT OF CENTERLINE FROM L TO M."
"2026/01/22","IR","053","ZMA",5,"5 NM EITHER SIDE OF CENTERLINE FROM  A TO C;"
"2026/01/22","IR","053","ZMA",10,"2 NM EITHER SIDE OF CENTERLINE FROM C TO E; 5 NM EITHER SIDE OF"
"2026/01/22","IR","053","ZMA",15,"CENTERLINE E TO F."
"2026/01/22","IR","055","ZMA",5,"4 NM EITHER SIDE OF CENTERLINE FROM A TO B;"
"2026/01/22","IR","055","ZMA",10,"8 NM EITHER SIDE OF CENTERLINE FROM B TO I."
"2026/01/22","IR","056","ZMA",5,"8 NM EITHER SIDE OF CENTERLINE FROM  A TO H;"
"2026/01/22","IR","056","ZMA",10,"4 NM EITHER SIDE OF CENTERLINE FROM H TO K; 3 NM EITHER SIDE OF"
"2026/01/22","IR","056","ZMA",15,"CENTERLINE FROM K TO O."
"2026/01/22","IR","057","ZJX ZTL",5,"2 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","059","ZJX ZTL",5,"ALL SEGMENTS, 2 NM EITHER SIDE OF"
"2026/01/22","IR","059","ZJX ZTL",10,"CENTERLINE."
"2026/01/22","IR","062","ZDC",5,"4 NM EITHER SIDE OF CENTERLINE FROM  A TO C;"
"2026/01/22","IR","062","ZDC",10,"3 NM LEFT AND 4 NM RIGHT OF CENTERLINE FROM C TO E; 4 NM EITHER"
"2026/01/22","IR","062","ZDC",15,"SIDE OF CENTERLINE FROM E TO M; 4 NM EITHER SIDE OF CENTERLINE"
"2026/01/22","IR","062","ZDC",20,"FROM L TO LA ON ALTERNATE EXIT TRACK."
"2026/01/22","IR","066","ZME ZTL",5,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","067","ZME ZTL",5,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","068","ZME",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO D;"
"2026/01/22","IR","068","ZME",10,"8 NM EITHER SIDE OF CENTERLINE FROM D TO E."
"2026/01/22","IR","070","ZFW ZME",5,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","077","ZME ZTL",5,"4 NM EITHER SIDE OF CENTERLINE FROM A TO E;"
