"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","SKED_SEQ_NO","MONTH","DAY","HOUR"
"2026/02/19","00218.7","A","AL","0A8","CENTREVILLE","US",1,"UNATNDD","",""
"2026/02/19","00225.","A","AL","5AL1","CHAPMAN","US",1,"UNATNDD","",""
"2026/02/19","00226.5","A","AL","5R1","CHATOM","US",1,"UNATNDD","",""
"2026/02/19","00226.51","A","AL","6AL6","CHATOM","US",1,"UNATNDD","",""
"2026/02/19","00228.","H","AL","35AL","CITRONELLE","US",1,"ON CALL","ALL","ALL"
"2026/02/19","00233.","A","AL","02A","CLANTON","US",2,"ALL","MON-FRI","0800-1700"
"2026/02/19","00233.1","A","AL","01AL","CLANTON","US",1,"UNATNDD","",""
"2026/02/19","00234.","A","AL","11A","CLAYTON","US",1,"UNATNDD","",""
"2026/02/19","00241.","A","AL","1AL2","COLUMBIANA","US",1,"UNATNDD","",""
"2026/02/19","00241.19","H","AL","91AL","COLUMBIANA","US",1,"UNATNDD","",""
"2026/02/19","00244.7","H","AL","AL13","COTTONTON","US",1,"UNATNDD","",""
"2026/02/19","00245.","A","AL","9A4","COURTLAND","US",1,"UNATNDD","",""
"2026/02/19","00245.6","A","AL","AL51","CRAWFORD","US",1,"UNATNDD","",""
"2026/02/19","00246.","A","AL","15A","CREOLA","US",1,"UNATNDD","",""
"2026/02/19","00248.3","A","AL","CMD","CULLMAN","US",1,"ALL","ALL","0700-1700"
"2026/02/19","00248.32","H","AL","3AL9","CULLMAN","US",1,"ALL","ALL","ALL"
"2026/02/19","00249.4","H","AL","30AL","DANVILLE","US",1,"UNATNDD","",""
"2026/02/19","00250.1","A","AL","4R9","DAUPHIN ISLAND","US",1,"UNATNDD","",""
"2026/02/19","00250.13","H","AL","6AL8","DAPHNE","US",1,"ALL","ALL","ON CALL"
"2026/02/19","00250.2","A","AL","4AL3","DAPHNE","US",1,"UNATNDD","",""
"2026/02/19","00251.","A","AL","DCU","DECATUR","US",1,"MAR-NOV","MON-FRI","0700-1900"
"2026/02/19","00251.","A","AL","DCU","DECATUR","US",3,"ALL","SAT-SUN","0800-1700"
"2026/02/19","00251.","A","AL","DCU","DECATUR","US",4,"DEC-FEB","MON-FRI","0700-1800"
"2026/02/19","00251.02","H","AL","1AL1","DECATUR","US",1,"UNATNDD","",""
"2026/02/19","00254.","A","AL","DYA","DEMOPOLIS","US",1,"ALL","MON-SAT","0800-1700"
"2026/02/19","00254.01","H","AL","AL14","DEMOPOLIS","US",1,"ALL","ALL","ALL"
"2026/02/19","00266.21","H","AL","AL20","DOTHAN","US",1,"UNATNDD","",""
"2026/02/19","00266.22","H","AL","AL59","DOTHAN","US",1,"ALL","ALL","ALL"
"2026/02/19","00267.","A","AL","DHN","DOTHAN","US",1,"ALL","ALL","ALL"
"2026/02/19","00267.6","A","AL","14J","ELBA","US",1,"UNATNDD","",""
"2026/02/19","00267.7","A","AL","7AL9","ELBERTA","US",1,"ALL","ALL","DALGT"
"2026/02/19","00267.81","A","AL","AL08","ELBERTA","US",1,"UNATNDD","",""
"2026/02/19","00269.","A","AL","AL55","ELBERTA","US",1,"UNATNDD","",""
"2026/02/19","00287.1","A","AL","EDN","ENTERPRISE","US",1,"ALL","MONDAY - FRIDAY","0700 - 1700"
"2026/02/19","00287.1","A","AL","EDN","ENTERPRISE","US",2,"ALL","SATURDAY","0800 - 1700"
"2026/02/19","00287.1","A","AL","EDN","ENTERPRISE","US",3,"ALL","SUNDAY","UNATNDD"
"2026/02/19","00290.","A","AL","EUF","EUFAULA","US",1,"ALL","MON- FRI","0800-1700"
"2026/02/19","00290.","A","AL","EUF","EUFAULA","US",2,"ALL","SAT-SUN","0830-1500"
"2026/02/19","00293.","A","AL","3A7","EUTAW","US",1,"UNATNDD","",""
"2026/02/19","00293.01","H","AL","09AL","EUTAW","US",1,"UNATNDD","",""
"2026/02/19","00296.","A","AL","GZH","EVERGREEN","US",1,"ALL","MON-FRI","0800-1700"
"2026/02/19","00296.01","H","AL","0AL3","EVERGREEN","US",1,"UNATNDD","",""
"2026/02/19","00300.3","A","AL","CQF","FAIRHOPE","US",1,"ALL","ALL","0600-2000"
"2026/02/19","00302.","A","AL","M95","FAYETTE","US",1,"ALL","MON-FRI","0900-1300"
"2026/02/19","00302.01","H","AL","3AL0","FAYETTE","US",1,"UNATNDD","",""
"2026/02/19","00305.","A","AL","4AL7","FLAT ROCK","US",1,"UNATNDD","",""
