"EFF_DATE","SITE_NO","SITE_TYPE_CODE","FACILITY_TYPE","STATE_CODE","FACILITY_ID","CITY","COUNTRY_CODE","ICAO_ID","FACILITY_NAME","REGION_CODE","TWR_OPERATOR_CODE","TWR_CALL","TWR_HRS","PRIMARY_APCH_RADIO_CALL","APCH_P_PROVIDER","APCH_P_PROV_TYPE_CD","SECONDARY_APCH_RADIO_CALL","APCH_S_PROVIDER","APCH_S_PROV_TYPE_CD","PRIMARY_DEP_RADIO_CALL","DEP_P_PROVIDER","DEP_P_PROV_TYPE_CD","SECONDARY_DEP_RADIO_CALL","DEP_S_PROVIDER","DEP_S_PROV_TYPE_CD","CTL_FAC_APCH_DEP_CALLS","APCH_DEP_OPER_CODE","CTL_PRVDING_HRS","SECONDARY_CTL_PRVDING_HRS"
"2026/02/19","17172.","A","NON-ATCT","NC","AFP","WADESBORO","US","KAFP","ANSON COUNTY/JEFF CLOUD FLD","ASO","","","","CHARLOTTE","CLT","A","","","","CHARLOTTE","CLT","A","","","","","","",""
"2026/02/19","23895.3","A","ATCT","TX","AFW","FORT WORTH","US","KAFW","PEROT FLD/FORT WORTH ALLIANCE","ASW","F","ALLIANCE","24","LONE STAR","D10","T","","","","LONE STAR","D10","T","","","","","","",""
"2026/02/19","21251.","A","ATCT","PA","AGC","PITTSBURGH","US","KAGC","ALLEGHENY COUNTY","AEA","F","ALLEGHENY","24","PITTSBURGH","PIT","A","","","","PITTSBURGH","PIT","A","","","","","","",""
"2026/02/19","01069.1","A","NON-ATCT","AR","AGO","MAGNOLIA","US","KAGO","RALPH C WEISER FLD","ASW","","","","FORT WORTH ARTCC","ZFW","C","","","","FORT WORTH ARTCC","ZFW","C","","","","","","",""
"2026/02/19","03650.","A","ATCT-TRACON","GA","AGS","AUGUSTA","US","KAGS","AUGUSTA RGNL AT BUSH FLD","ASO","F","AUGUSTA","0645-2300","AUGUSTA","AGS","A","ATLANTA ARTCC","ZTL","C","AUGUSTA","AGS","A","ATLANTA ARTCC","ZTL","C","AUGUSTA","F","0645-2300","2300-0645"
"2026/02/19","22815.","A","NON-ATCT","SD","AGZ","WAGNER","US","KAGZ","WAGNER MUNI","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
"2026/02/19","01661.01","A","NON-ATCT","CA","AHC","HERLONG","US","KAHC","AMEDEE AAF","AWP","","","","OAKLAND ARTCC","ZOA","C","","","","OAKLAND ARTCC","ZOA","C","","","","","","",""
"2026/02/19","27005.2","A","NON-ATCT","WI","AHH","AMERY","US","KAHH","AMERY MUNI","AGL","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","MINNEAPOLIS ARTCC","ZMP","C","","","","","","",""
"2026/02/19","03637.","A","ATCT","GA","AHN","ATHENS","US","KAHN","ATHENS/BEN EPPS","ASO","FCT","ATHENS","0800-2000","ATLANTA","A80","T","ATLANTA ARTCC","ZTL","C","ATLANTA","A80","T","ATLANTA ARTCC","ZTL","C","","","",""
"2026/02/19","12964.","A","NON-ATCT","NE","AHQ","WAHOO","US","KAHQ","WAHOO MUNI","ACE","","","","OMAHA","R90","T","","","","OMAHA","R90","T","","","","","","",""
