"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST"
"2026/02/19","LAMKE INT*SC*K7",1,"SC","US","LAMKE","K7","RBW","LD","NE","49","CRS",229,"R",
"2026/02/19","LAMKE WP*SC*K7",2,"SC","US","LAMKE","K7","","","NE","49","RNAV",229,"R",4
"2026/02/19","LAMMA INT*FL*K7",1,"FL","US","LAMMA","K7","OMN","VORTAC","N","356","RAD",176,"L",
"2026/02/19","LAMMB WP*WA*K1",1,"WA","US","LAMMB","K1","","","NE","61","RNAV",241,"R",4
"2026/02/19","LAMMY WP*TX*K4",1,"TX","US","LAMMY","K4","","","S","180","RNAV",360,"R",9
"2026/02/19","LAMOE WP*CO*K2",1,"CO","US","LAMOE","K2","","","SW","207","RNAV",27,"R",10
"2026/02/19","LAMON WP*ID*K1",1,"ID","US","LAMON","K1","","","W","268","RNAV",88,"R",7
"2026/02/19","LAMON WP*ID*K1",2,"ID","US","LAMON","K1","","","W","268","RNAV",88,"R",8
"2026/02/19","LAMRE WP*FL*K7",1,"FL","US","LAMRE","K7","","","S","180","RNAV",360,"R",4
"2026/02/19","LANAI VORTAC*HI",1,"HI","US","","","LNY","VORTAC","W","278","RAD",98,"R",
"2026/02/19","LANCH WP*FL*K7",1,"FL","US","LANCH","K7","","","S","189","RNAV",9,"R",4
"2026/02/19","LANDR INT*CO*K2",1,"CO","US","LANDR","K2","DVV","VORTAC","NE","38","RAD",218,"L",
"2026/02/19","LANEY INT*AK*PA",1,"AK","US","LANEY","PA","CDB","VORTAC","NW","329","RAD",149,"R",12
"2026/02/19","LANEZ INT*MO*K3",1,"MO","US","LANEZ","K3","SGF","VORTAC","NE","54","RAD",234,"R",
"2026/02/19","LANGE INT*CA*K2",1,"CA","US","LANGE","K2","LAX","VORTAC","S","342","RAD",342,"R",
"2026/02/19","LANGE INT*CA*K2",2,"CA","US","LANGE","K2","PMD","VORTAC","NE","218","RAD",218,"R",
"2026/02/19","LANHO INT*NC*K7",1,"NC","US","LANHO","K7","RDU","VORTAC","S","194","RAD",14,"R",
"2026/02/19","LANIC WP*NM*K2",1,"NM","US","LANIC","K2","","","NE","30","RNAV",210,"R",7
"2026/02/19","LANKK WP*OH*K5",1,"OH","US","LANKK","K5","","","W","258","RNAV",78,"R",4
"2026/02/19","LANTA INT*NC*K7",1,"NC","US","LANTA","K7","DAN","LS","SW","205","CRS",25,"R",
"2026/02/19","LANTA WP*NC*K7",2,"NC","US","LANTA","K7","","","SW","205","RNAV",25,"R",4
"2026/02/19","LANTT WP*TX*K4",1,"TX","US","LANTT","K4","","","NW","313","RNAV",133,"R",7
"2026/02/19","LAPIN INT*NV*K2",2,"NV","US","LAPIN","K2","LAS","VORTAC","NE","66","RAD",246,"L",
"2026/02/19","LAPIN INT*NV*K2",3,"NV","US","LAPIN","K2","LAS","VORTAC","NE","66","RAD",246,"L",7
"2026/02/19","LAPIN WP*NV*K2",1,"NV","US","LAPIN","K2","","","W","250","RNAV",70,"R",5
"2026/02/19","LARAMIE VOR/DME*WY",1,"WY","US","","","LAR","VOR/DME","NW","305","RAD",125,"L",
"2026/02/19","LARBE WP*DE*K6",1,"DE","US","LARBE","K6","","","S","195","RNAV",15,"R",4
"2026/02/19","LARCS WP*IN*K5",1,"IN","US","LARCS","K5","","","SE","140","RNAV",320,"R",4
"2026/02/19","LARDS INT*SC*K7",1,"SC","US","LARDS","K7","FLO","VORTAC","SW","255","RAD",75,"R",
"2026/02/19","LARDS WP*SC*K7",1,"SC","US","LARDS","K7","","","W","262","RNAV",82,"R",4
"2026/02/19","LAREDO VORTAC*TX",1,"TX","US","","","LRD","VORTAC","SE","132","RAD",312,"R",
"2026/02/19","LAREW LOM*MN",1,"MN","US","","","BR","LO","NE","51","BRG",231,"R",
"2026/02/19","LAREW LOM*MN",2,"MN","US","","","BRD","LS","NE","51","CRS",231,"R",
"2026/02/19","LARIC WP*OH*K5",1,"OH","US","LARIC","K5","","","N","349","RNAV",169,"R",4
"2026/02/19","LARKS INT*CO*K2",1,"CO","US","LARKS","K2","FQF","VORTAC","SW","220","RAD",40,"L",
"2026/02/19","LARNO INT*NC*K7",1,"NC","US","LARNO","K7","ISO","VORTAC","W","270","RAD",90,"L",5
"2026/02/19","LARPP INT*VI*TI",1,"VI","US","LARPP","TI","STT","VOR/DME","W","110","RAD",110,"R",
"2026/02/19","LARRY INT*TN*K7",1,"TN","US","LARRY","K7","LVT","VOR/DME","W","107","RAD",107,"R",4
"2026/02/19","LARTO INT*LA*K4",1,"LA","US","LARTO","K4","AEX","VORTAC","NE","67","RAD",247,"R",
"2026/02/19","LARUE INT*MS*K7",1,"MS","US","LARUE","K7","HLI","VORTAC","SE","299","RAD",299,"R",
"2026/02/19","LARUE WP*MS*K7",2,"MS","US","LARUE","K7","","","SE","122","RNAV",302,"R",6
"2026/02/19","LAS VEGAS VORTAC*NV",1,"NV","US","","","LAS","VORTAC","E","71","RAD",251,"R",
"2026/02/19","LASDE INT*IL*K5",1,"IL","US","LASDE","K5","RTT","LE","NE","31","CRS",211,"R",
"2026/02/19","LASEA WP*MI*K5",1,"MI","US","LASEA","K5","","","N","4","RNAV",184,"R",4
"2026/02/19","LATEC WP*PA*K6",1,"PA","US","LATEC","K6","","","E","95","RNAV",275,"R",4
"2026/02/19","LATGE WP*TN*K7",1,"TN","US","LATGE","K7","","","N","9","RNAV",189,"L",4
"2026/02/19","LATHS WP*AR*K4",1,"AR","US","LATHS","K4","","","W","260","RNAV",80,"R",4
"2026/02/19","LATIW WP*LA*K4",1,"LA","US","LATIW","K4","","","N","6","RNAV",186,"R",5
"2026/02/19","LATJI WP*NE*K3",1,"NE","US","LATJI","K3","","","NW","304","RNAV",124,"R",4
"2026/02/19","LATOC WP*KS*K3",1,"KS","US","LATOC","K3","","","S","168","RNAV",348,"R",5
"2026/02/19","LATON WP*CA*K2",1,"CA","US","LATON","K2","","","SE","141","RNAV",321,"R",4
"2026/02/19","LATTS WP*NY*K6",1,"NY","US","LATTS","K6","","","S","190","RNAV",10,"R",10
"2026/02/19","LAUGHLIN VORTAC*TX",1,"TX","US","","","DLF","VORTAC","E","89","RAD",269,"R",
"2026/02/19","LAUGHLIN VORTAC*TX",2,"TX","US","","","DLF","VORTAC","SE","118","RAD",298,"R",
"2026/02/19","LAUGHLIN VORTAC*TX",3,"TX","US","","","DLF","VORTAC","NW","322","RAD",142,"L",
"2026/02/19","LAUGHLIN VORTAC*TX",4,"TX","US","","","DLF","VORTAC","E","87","RNAV",267,"R",4
"2026/02/19","LAURI INT*TN*K7",2,"TN","US","LAURI","K7","MEM","VORTAC","N","360","RAD",180,"L",
"2026/02/19","LAURI WP*TN*K7",1,"TN","US","LAURI","K7","","","N","0","RNAV",180,"L",4
"2026/02/19","LAURL INT*OG*K",2,"OG","US","LAURL","K","SBI","VOR/DME","SE","136","RAD",316,"L",
"2026/02/19","LAURL WP*OG*K",1,"OG","US","LAURL","K","","","SE","139","RNAV",319,"L",10
"2026/02/19","LAVAC INT*AR*K4",1,"AR","US","LAVAC","K4","FSM","LS","E","74","CRS",254,"R",
