CSV File,Column Name,Max Length,Data Type,Nullable
APT_BASE,TRNS_STRG_HGR_FLAG,1,VARCHAR,Yes
APT_BASE,TRNS_STRG_TIE_FLAG,1,VARCHAR,Yes
APT_BASE,OTHER_SERVICES,110,VARCHAR,Yes
APT_BASE,WIND_INDCR_FLAG,3,VARCHAR,Yes
APT_BASE,ICAO_ID,7,VARCHAR,Yes
APT_BASE,MIN_OP_NETWORK,1,VARCHAR,No
APT_BASE,USER_FEE_FLAG,26,VARCHAR,Yes
APT_BASE,CTA,4,VARCHAR,Yes
APT_CON,EFF_DATE,10,VARCHAR,No
APT_CON,SITE_NO,9,VARCHAR,No
APT_CON,SITE_TYPE_CODE,1,VARCHAR,No
APT_CON,STATE_CODE,2,VARCHAR,Yes
APT_CON,ARPT_ID,4,VARCHAR,No
APT_CON,CITY,40,VARCHAR,No
APT_CON,COUNTRY_CODE,2,VARCHAR,No
APT_CON,TITLE,10,VARCHAR,No
APT_CON,NAME,35,VARCHAR,Yes
APT_CON,ADDRESS1,35,VARCHAR,Yes
APT_CON,ADDRESS2,35,VARCHAR,Yes
APT_CON,TITLE_CITY,30,VARCHAR,Yes
APT_CON,STATE,2,VARCHAR,Yes
APT_CON,ZIP_CODE,5,VARCHAR,Yes
APT_CON,ZIP_PLUS_FOUR,4,VARCHAR,Yes
APT_CON,PHONE_NO,16,VARCHAR,Yes
APT_RMK,EFF_DATE,10,VARCHAR,No
APT_RMK,SITE_NO,9,VARCHAR,No
APT_RMK,SITE_TYPE_CODE,1,VARCHAR,No
APT_RMK,STATE_CODE,2,VARCHAR,Yes
APT_RMK,ARPT_ID,4,VARCHAR,No
APT_RMK,CITY,40,VARCHAR,No
APT_RMK,COUNTRY_CODE,2,VARCHAR,No
APT_RMK,LEGACY_ELEMENT_NUMBER,30,VARCHAR,No
APT_RMK,TAB_NAME,30,VARCHAR,No
APT_RMK,REF_COL_NAME,30,VARCHAR,No
APT_RMK,ELEMENT,30,VARCHAR,Yes
APT_RMK,REF_COL_SEQ_NO,"(3,0)",NUMBER,No
APT_RMK,REMARK,1500,VARCHAR,No
APT_RWY,EFF_DATE,10,VARCHAR,No
APT_RWY,SITE_NO,9,VARCHAR,No
APT_RWY,SITE_TYPE_CODE,1,VARCHAR,No
APT_RWY,STATE_CODE,2,VARCHAR,Yes
APT_RWY,ARPT_ID,4,VARCHAR,No
APT_RWY,CITY,40,VARCHAR,No
APT_RWY,COUNTRY_CODE,2,VARCHAR,No
APT_RWY,RWY_ID,7,VARCHAR,No
APT_RWY,RWY_LEN,"(5,0)",NUMBER,No
APT_RWY,RWY_WIDTH,"(4,0)",NUMBER,No
APT_RWY,SURFACE_TYPE_CODE,10,VARCHAR,Yes
APT_RWY,COND,9,VARCHAR,Yes
APT_RWY,TREATMENT_CODE,4,VARCHAR,Yes
APT_RWY,PCN,"(3,0)",NUMBER,Yes
APT_RWY,PAVEMENT_TYPE_CODE,1,VARCHAR,Yes
APT_RWY,SUBGRADE_STRENGTH_CODE,1,VARCHAR,Yes
APT_RWY,TIRE_PRES_CODE,1,VARCHAR,Yes
APT_RWY,DTRM_METHOD_CODE,1,VARCHAR,Yes
APT_RWY,RWY_LGT_CODE,4,VARCHAR,Yes
APT_RWY,RWY_LEN_SOURCE,16,VARCHAR,Yes
APT_RWY,LENGTH_SOURCE_DATE,10,VARCHAR,Yes
APT_RWY,GROSS_WT_SW,"(5,1)",NUMBER,Yes
APT_RWY,GROSS_WT_DW,"(5,1)",NUMBER,Yes
APT_RWY,GROSS_WT_DTW,"(5,1)",NUMBER,Yes
APT_RWY,GROSS_WT_DDTW,"(5,1)",NUMBER,Yes
APT_RWY_END,EFF_DATE,10,VARCHAR,No
APT_RWY_END,SITE_NO,9,VARCHAR,No
APT_RWY_END,SITE_TYPE_CODE,1,VARCHAR,No
APT_RWY_END,STATE_CODE,2,VARCHAR,Yes
APT_RWY_END,ARPT_ID,4,VARCHAR,No
APT_RWY_END,CITY,40,VARCHAR,No
APT_RWY_END,COUNTRY_CODE,2,VARCHAR,No
APT_RWY_END,RWY_ID,7,VARCHAR,No
APT_RWY_END,RWY_END_ID,3,VARCHAR,No
APT_RWY_END,TRUE_ALIGNMENT,"(3,0)",NUMBER,Yes
