"EFF_DATE","PJA_ID","FAC_ID","FAC_NAME","LOC_ID","COMMERCIAL_FREQ","COMMERCIAL_CHART_FLAG","MIL_FREQ","MIL_CHART_FLAG","SECTOR","CONTACT_FREQ_ALTITUDE"
"2026/02/19","PAK002","FAI","FAIRBANKS INTL","FAI",126.5,"Y",,"","",""
"2026/02/19","PAK006","ANC","TED STEVENS ANCHORAGE INTL","ANC",126.4,"N",,"","",""
"2026/02/19","PAK013","ANC","TED STEVENS ANCHORAGE INTL","ANC",126.4,"Y",,"","",""
"2026/02/19","PAK019","ANC","TED STEVENS ANCHORAGE INTL","ANC",118.6,"Y",,"","",""
"2026/02/19","PAK027","A11","ANCHORAGE APPROACH CONTROL","I90",118.6,"Y",,"","",""
"2026/02/19","PAL032","MGM","MONTGOMERY RGNL (DANNELLY FLD)","MGM",121.2,"Y",,"","",""
"2026/02/19","PAL036","P31","PENSACOLA TRACON","P31",122,"N",,"","",""
"2026/02/19","PAZ001","ZAB","ALBUQUERQUE","ZAB",125.25,"Y",,"","",""
"2026/02/19","PAZ004","TUS","TUCSON INTL","TUS",125.1,"Y",,"","",""
"2026/02/19","PAZ007","ZAB","ALBUQUERQUE","ZAB",125.25,"Y",,"","",""
"2026/02/19","PAZ012","ZAB","ALBUQUERQUE","ZAB",124.5,"Y",,"","",""
"2026/02/19","PAZ015","ZAB","ALBUQUERQUE","ZAB",125.25,"N",,"","",""
"2026/02/19","PAZ016","P50","PHOENIX TRACON","P50",123.7,"Y",,"","",""
"2026/02/19","PAZ017","GCN","GRAND CANYON NTL PARK","GCN",119,"Y",,"","",""
"2026/02/19","PAZ017","ZLA","LOS ANGELES","ZLA",124.85,"Y",,"","",""
"2026/02/19","PAZ018","L30","LAS VEGAS TRACON","L30",125.475,"Y",,"","",""
"2026/02/19","PAZ019","L30","LAS VEGAS TRACON","L30",118.4,"Y",,"","",""
"2026/02/19","PAZ020","P50","PHOENIX TRACON","P50",123.7,"Y",,"","",""
"2026/02/19","PCA031","SCT","SOUTHERN CALIFORNIA TRACON","SCT",134,"N",278.3,"N","",""
"2026/02/19","PCA033","FAT","FRESNO YOSEMITE INTL","FAT",119.6,"Y",,"","",""
"2026/02/19","PCA037","ZOA","OAKLAND","ZOA",119.75,"N",284.6,"N","",""
"2026/02/19","PCA048","NCT","NORTHERN CALIFORNIA TRACON","NCT",123.85,"N",278.3,"N","",""
"2026/02/19","PCA049","NCT","NORTHERN CALIFORNIA TRACON","NCT",127.15,"N",,"","",""
"2026/02/19","PCA050","ZLA","LOS ANGELES","ZLA",121.1,"Y",,"","",""
"2026/02/19","PCA052","ZLA","LOS ANGELES","ZLA",128.15,"Y",,"","",""
"2026/02/19","PCA053","NCT","NORTHERN CALIFORNIA TRACON","NCT",120.1,"Y",,"","",""
"2026/02/19","PCA054","ZOA","OAKLAND","ZOA",127.8,"Y",,"","",""
"2026/02/19","PCA055","NCT","NORTHERN CALIFORNIA TRACON","NCT",125.1,"N",,"","",""
"2026/02/19","PCA056","SCT","SOUTHERN CALIFORNIA TRACON","SCT",134,"N",,"","",""
"2026/02/19","PCA057","BFL","MEADOWS FLD","BFL",112.975,"N",,"","",""
"2026/02/19","PCA058","ZOA","OAKLAND","ZOA",121.25,"N",,"","",""
"2026/02/19","PCA059","ZLA","LOS ANGELES","ZLA",127.1,"N",,"","",""
"2026/02/19","PCA059","BFL","MEADOWS FLD","BFL",119.075,"N",270.3,"N","",""
"2026/02/19","PCA061","SCT","SOUTHERN CALIFORNIA TRACON","SCT",125.15,"Y",317.55,"N","",""
"2026/02/19","PCA062","ZOA","OAKLAND","ZOA",132.2,"Y",350.3,"Y","",""
"2026/02/19","PCA063","ZOA","OAKLAND","ZOA",132.2,"Y",350.3,"Y","",""
"2026/02/19","PCA064","ZOA","OAKLAND","ZOA",132.2,"Y",350.3,"Y","",""
"2026/02/19","PCA065","ZOA","OAKLAND","ZOA",132.2,"Y",350.3,"Y","",""
"2026/02/19","PCA066","ZOA","OAKLAND","ZOA",132.2,"Y",350.3,"Y","",""
"2026/02/19","PCO014","D01","DENVER TRACON","D01",127.05,"Y",,"","",""
"2026/02/19","PCO015","D01","DENVER TRACON","D01",127.05,"Y",,"","",""
"2026/02/19","PCT003","PVD","RHODE ISLAND TF GREEN INTL","PVD",123.67,"Y",,"","",""
"2026/02/19","PFL014","JAX","JACKSONVILLE INTL","JAX",121,"N",,"","",""
"2026/02/19","PFL016","ZMA","MIAMI","ZMA",127.2,"Y",,"","",""
"2026/02/19","PFL039","TLH","TALLAHASSEE INTL","TLH",135.8,"N",,"","",""
"2026/02/19","PFL046","TPA","TAMPA INTL","TPA",135.5,"N",,"","",""
"2026/02/19","PFL048","","EGLIN RADAR CONTROL FACILITY","VPS",125.1,"Y",284.65,"N","",""
"2026/02/19","PFL050","OZR","CAIRNS AAF (FORT RUCKER)","OZR",133.75,"N",133.75,"N","",""
"2026/02/19","PGA035","ZTL","ATLANTA","ZTL",124.5,"Y",,"","",""
"2026/02/19","PGU001","GUM","GUAM INTL","GUM",118.7,"Y",279.5,"Y","",""
"2026/02/19","PHI005","ZHN","HONOLULU CONTROL FACILITY","ZHN",126.5,"Y",,"","",""
"2026/02/19","PHI007","ZHN","HONOLULU CONTROL FACILITY","ZHN",126.5,"Y",,"","",""
"2026/02/19","PHI010","ZHN","HONOLULU CONTROL FACILITY","ZHN",126,"Y",,"","",""
