"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_END_ID","ILS_LOC_ID","SYSTEM_TYPE_CODE","COMPONENT_STATUS","COMPONENT_STATUS_DATE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","LAT_LONG_SOURCE_CODE","SITE_ELEVATION","CHANNEL"
"2026/02/19","00763.","A","AZ","PRC","PRESCOTT","US","21L","PRC","LD","OPERATIONAL IFR","1985/06/06",34,38,38.1566,"N",34.64393238,112,25,46.2392,"W",-112.42951088,"T",5063.4,"22X"
"2026/02/19","00816.","A","AZ","TUS","TUCSON","US","12","TUS","LD","OPERATIONAL IFR","2007/08/30",32,5,54.9712,"N",32.09860311,110,55,3.2284,"W",-110.91756344,"T",2676.1,"54X"
"2026/02/19","00880.","A","AR","BVX","BATESVILLE","US","08","BVX","LE","OPERATIONAL RESTRICTED","2018/02/08",35,43,30.5468,"N",35.72515188,91,38,14.9022,"W",-91.63747283,"K",477.1,"34X"
"2026/02/19","00886.39","A","AR","SUZ","BENTON","US","02","SUZ","LD","OPERATIONAL IFR","2007/12/20",34,36,15.9436,"N",34.60442877,92,28,20.5217,"W",-92.47236713,"T",404.7,"56Y"
"2026/02/19","00901.","A","AR","BYH","BLYTHEVILLE","US","18","BYH","LD","OPERATIONAL IFR","1993/11/11",35,56,36.554,"N",35.94348722,89,56,40.64,"W",-89.94462222,"G",260,"40X"
"2026/02/19","00964.","A","AR","ELD","EL DORADO","US","22","ELD","LD","OPERATIONAL RESTRICTED","2020/08/24",33,13,30.94,"N",33.22526111,92,48,24.03,"W",-92.806675,"F",233,"48X"
"2026/02/19","00975.","A","AR","FYV","FAYETTEVILLE","US","16","FYV","LE","OPERATIONAL IFR","2024/10/07",35,59,36.4829,"N",35.99346747,94,10,5.3433,"W",-94.16815091,"T",1255.1,"56X"
"2026/02/19","00975.","A","AR","FYV","FAYETTEVILLE","US","34","LFH","DD","OPERATIONAL RESTRICTED","2019/08/13",35,59,36.4829,"N",35.99346747,94,10,5.3433,"W",-94.16815091,"T",1255.1,"56X"
"2026/02/19","00975.01","A","AR","XNA","FAYETTEVILLE/SPRINGDALE/ROGERS","US","16L","XNA","LD","OPERATIONAL IFR","1998/08/13",36,17,46.72,"N",36.29631111,94,18,43.01,"W",-94.31194722,"T",1282,"52Y"
"2026/02/19","00975.01","A","AR","XNA","FAYETTEVILLE/SPRINGDALE/ROGERS","US","34R","FBS","LD","OPERATIONAL IFR","1998/08/13",36,17,46.72,"N",36.29631111,94,18,43.01,"W",-94.31194722,"T",1282,"52Y"
"2026/02/19","01002.","A","AR","HRO","HARRISON","US","36","HRO","LD","OPERATIONAL IFR","1984/09/27",36,16,9.0975,"N",36.26919375,93,9,19.4686,"W",-93.15540794,"K",1391.9,"54X"
"2026/02/19","01023.","A","AR","HOT","HOT SPRINGS","US","05","HOT","LD","OPERATIONAL IFR","1984/09/27",34,29,12.6792,"N",34.48685533,93,5,5.0951,"W",-93.08474863,"T",581.8,"52X"
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","04L","LIT","LD","OPERATIONAL RESTRICTED","2018/07/19",34,43,13.0961,"N",34.72030447,92,14,19.9345,"W",-92.23887069,"T",265.4,"40X"
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","04R","CNL","LD","OPERATIONAL IFR","2006/09/28",34,44,14.0328,"N",34.73723133,92,11,58.9695,"W",-92.19971375,"T",257.4,"50X"
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","22L","BWY","LD","OPERATIONAL IFR","2007/08/30",34,43,9.8066,"N",34.71939072,92,13,24.181,"W",-92.22338361,"T",264.5,"44X"
"2026/02/19","01056.","A","AR","LIT","LITTLE ROCK","US","22R","AAY","LD","OPERATIONAL RESTRICTED","2018/02/08",34,43,13.0961,"N",34.72030447,92,14,19.9345,"W",-92.23887069,"T",265.4,"40X"
"2026/02/19","01081.","A","AR","MEZ","MENA","US","27","VMU","LD","OPERATIONAL IFR","2005/07/07",34,32,38.6711,"N",34.5440753,94,12,39.4014,"W",-94.21094483,"T",1075.6,"24X"
"2026/02/19","01104.4","A","AR","BPK","MOUNTAIN HOME","US","05","BPK","LD","OPERATIONAL IFR","2006/06/08",36,22,24.1458,"N",36.37337383,92,27,42.5414,"W",-92.46181705,"T",922.4,"56Y"
"2026/02/19","01118.","A","AR","ORK","NORTH LITTLE ROCK","US","05","ORK","LE","OPERATIONAL RESTRICTED","2017/05/19",34,50,13.6514,"N",34.83712538,92,14,30.0257,"W",-92.2416738,"F",502.5,"56X"
"2026/02/19","01156.","A","AR","ROG","ROGERS","US","20","ROG","LD","OPERATIONAL IFR","1991/07/25",36,21,42.389,"N",36.36177472,94,6,38.062,"W",-94.11057277,"F",1356,"52X"
"2026/02/19","01165.","A","AR","SRC","SEARCY","US","01","DSY","LD","OPERATIONAL IFR","2003/12/25",35,13,16.93,"N",35.22136944,91,44,4.55,"W",-91.73459722,"F",250,"38X"
"2026/02/19","01186.","A","AR","SGT","STUTTGART","US","36","TTL","LD","OPERATIONAL IFR","2005/10/27",34,36,25.1997,"N",34.60699991,91,34,37.2784,"W",-91.57702177,"Z",232.6,"42Y"
"2026/02/19","01188.","A","AR","TXK","TEXARKANA","US","22","TXK","LD","OPERATIONAL RESTRICTED","2018/02/09",33,26,37.9502,"N",33.44387505,94,0,19.483,"W",-94.00541194,"T",364,"56X"
"2026/02/19","01206.2","A","AR","AWM","WEST MEMPHIS","US","17","LWR","LD","OPERATIONAL IFR","1995/02/02",35,7,20.165,"N",35.12226805,90,14,8.5911,"W",-90.23571975,"T",228,"44X"
"2026/02/19","01255.1","A","CA","ACV","ARCATA/EUREKA","US","32","ACV","LD","OPERATIONAL IFR","1980/05/15",40,59,13.2766,"N",40.98702127,124,6,47.722,"W",-124.11325611,"T",196.5,"32X"
"2026/02/19","01291.","A","CA","BFL","BAKERSFIELD","US","30R","BFL","LD","OPERATIONAL IFR","1901/01/01",35,26,56.0066,"N",35.44889072,119,4,22.8322,"W",-119.07300894,"T",529.8,"56X"
"2026/02/19","01327.","A","CA","BIH","BISHOP","US","17","BIH","DD","OPERATIONAL RESTRICTED","2018/02/14",37,22,27.87,"N",37.37440833,118,21,8.78,"W",-118.35243888,"K",4100,"28X"
"2026/02/19","01376.1","A","CA","CRQ","CARLSBAD","US","24","CRQ","LD","OPERATIONAL IFR","2011/07/19",33,7,34.4808,"N",33.12624466,117,17,19.5664,"W",-117.28876844,"K",294.4,"24X"
"2026/02/19","01395.","A","CA","CIC","CHICO","US","13L","CIC","LD","OPERATIONAL IFR","2020/04/03",39,47,8.6,"N",39.78572222,121,50,54.72,"W",-121.84853333,"F",195,"50X"
"2026/02/19","01437.","A","CA","CCR","CONCORD","US","19R","CCR","DD","OPERATIONAL IFR","2019/02/28",37,58,56.91,"N",37.982475,122,3,34.49,"W",-122.05958055,"T",22.3,"22X"
"2026/02/19","01591.","A","CA","FAT","FRESNO","US","11L","RPW","LE","OPERATIONAL IFR","2000/08/31",36,47,10.81,"N",36.78633611,119,43,56.63,"W",-119.73239722,"T",347.1,"50X"
